"Frequency[kHz]","Channel[dBu]"
49.68643188,-62.91526000
49.73411560,-57.68246000
49.78179932,-53.67976000
49.82948303,-65.45161000
49.87716675,-63.48946000
49.92485046,-60.93116000
49.97253418,-59.36522000
50.02021790,-59.86755000
50.06790161,-55.18914000
50.11558533,-55.73781000
50.16326904,-67.65634000
50.21095276,-53.41673000
50.25863647,-54.87675000
50.30632019,-59.97156000
50.35400391,-62.17342000
50.40168762,-60.55302000
50.44937134,-71.42670000
50.49705505,-56.52189000
50.54473877,-58.45174000
50.59242249,-64.49199000
50.64010620,-60.51468000
50.68778992,-57.21225000
50.73547363,-56.42948000
